# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_B_Dfur_-O2_C_cds.txt" "Kiley_B_Dfur_-O2_C.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_B_Dfur_-O2_C.bam
ZMO1_ZMO0392	CP023715.1	395792	396295	+	504	121
ZMO1_ZMO0393	CP023715.1	396296	396967	+	672	255
ZMO1_ZMO0394	CP023715.1	396980	397654	+	675	246
ZMO1_ZMO0395	CP023715.1	397834	398202	+	369	951
ZMO1_ZMO0397	CP023715.1	398199	398645	+	447	787
ZMO1_ZMO0398	CP023715.1	398650	399051	+	402	663
ZMO1_ZMO0399	CP023715.1	399056	400057	+	1002	2898
ZMO1_ZMO0400	CP023715.1	400062	402716	+	2655	1553
ZMO1_ZMO0401	CP023715.1	402726	404777	-	2052	577
ZMO1_ZMO0402	CP023715.1	404997	405662	-	666	461
ZMO1_ZMO0403	CP023715.1	405659	406762	-	1104	1122
ZMO1_ZMO0405	CP023715.1	407713	410034	+	2322	2735
ZMO1_ZMO0406	CP023715.1	410124	410945	-	822	1470
ZMO1_ZMO0407	CP023715.1	411097	411789	+	693	2498
ZMO1_ZMO0408	CP023715.1	412024	413214	+	1191	8323
ZMO1_ZMO0409	CP023715.1	413245	414186	+	942	3953
ZMO1_ZMO0410	CP023715.1	414315	415238	+	924	2169
ZMO1_ZMO0411	CP023715.1	415313	417295	+	1983	1581
ZMO1_ZMO0412	CP023715.1	417491	418117	-	627	1087
ZMO1_ZMO0413	CP023715.1	418306	418632	-	327	502
ZMO1_ZMO0414	CP023715.1	418656	419696	-	1041	3620
ZMO1_ZMO0416	CP023715.1	419902	420603	+	702	147
ZMO1_ZMO0417	CP023715.1	420600	421475	+	876	251
ZMO1_ZMO0418	CP023715.1	421507	422118	+	612	424
ZMO1_ZMO0419	CP023715.1	422167	422919	+	753	325
ZMO1_ZMO0420	CP023715.1	422968	423849	-	882	3066
ZMO1_ZMO0421	CP023715.1	423850	424959	-	1110	3803
ZMO1_ZMO0422	CP023715.1	425526	425933	+	408	253
ZMO1_ZMO0423	CP023715.1	425933	427405	+	1473	1533
ZMO1_ZMO0425	CP023715.1	427420	428172	+	753	516
ZMO1_ZMO0426	CP023715.1	428169	429284	+	1116	1024
ZMO1_ZMO0427	CP023715.1	429281	430504	+	1224	1603
ZMO1_ZMO0428	CP023715.1	430501	430935	+	435	202
ZMO1_ZMO0429	CP023715.1	430974	431315	+	342	325
ZMO1_ZMO0430	CP023715.1	431440	432108	+	669	1376
ZMO1_ZMO0431	CP023715.1	432142	432972	+	831	3607
ZMO1_ZMO0432	CP023715.1	433040	433912	-	873	166
ZMO1_ZMO0433	CP023715.1	434260	434910	-	651	1814
ZMO1_ZMO0435	CP023715.1	435064	435507	-	444	5071
ZMO1_ZMO0436	CP023715.1	435636	436034	-	399	116
ZMO1_ZMO0437	CP023715.1	436192	436413	+	222	139
ZMO1_ZMO0439	CP023715.1	436668	437792	+	1125	1169
ZMO1_ZMO0440	CP023715.1	437902	438192	+	291	689
ZMO1_ZMO0441	CP023715.1	438219	438923	+	705	2020
ZMO1_ZMO0442	CP023715.1	438961	439596	+	636	798
ZMO1_ZMO0443	CP023715.1	439680	440717	-	1038	1548
ZMO1_ZMO0444	CP023715.1	441046	442092	+	1047	2108
ZMO1_ZMO0445	CP023715.1	442089	443654	+	1566	1568
ZMO1_ZMO0446	CP023715.1	443686	445092	+	1407	1310
ZMO1_ZMO0447	CP023715.1	445110	445421	+	312	184
