Sample	>10	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>500	>1k	>100	>10k+	>5k	>50
SRX5329169	6.993524579681412										5.680036593886887	25.590121049599762	7.142649058721827	24.110717132113937	15.962332676218901	2.538476153569787
SRX5329170	17.314335887228854										11.103103241794157	18.522484480576384	24.956796696862156	2.4274128219584705	2.9718413210550936	9.147787958499121
SRX5329171	17.683291038979505										10.654878254482115	18.491299124683948	24.12921778054171	2.8170569286894267	3.4517221697705756	9.32149639494602
SRX5329172	16.861719875079505										10.124623679089902	17.58397495831544	23.38954603544013	5.389117535786276	3.738935971256922	8.641482992046267
SRX5329173	6.095979964789502										4.60924286690137	24.213779639842976	5.7839396080991445	32.48850659427569	15.567559064086026	2.034580621808772
SRX5329174	18.097197803608616										10.830520260591562	18.048007217313295	24.573947974796393	3.1486448100886895	2.940095395538126	9.3289165560845
SRX5329175	14.731788509957555										10.250702892870185	22.092649758750195	19.415439129754294	6.8695626347811	6.842518177578653	7.250655030450513
SRX5329176	7.5401322460161735										5.011898801142664	23.231547402704877	7.317757871196798	30.76507779930622	13.846319543833301	2.889099929906698
SRX5329177	18.442977047652757										11.138872128406522	17.24775255426595	25.138490016914606	2.4130373046356848	2.5403155210977686	9.597378566797216
SRX5329178	6.9058289934262636										5.60278124391431	26.7598651422516	6.673711705537315	23.407685380914245	16.586290143573436	2.248884495264142
SRX5329179	7.50475117059332										5.38549589633236	24.600921347356337	7.966306491658765	24.512307912584063	15.595006212020635	2.816096119486012
SRX5329180	10.085072043605816										5.842616843659761	22.410234132217802	9.759973969625388	20.177403895047462	13.531074414472899	3.932746379441418
SRX5329181	18.798744530411675										8.101949679862958	17.339312954861246	17.690794650100177	5.21066638992488	4.433835718485442	7.560587424761925
SRX5329182	19.9815105963128										9.108191595629126	13.88911984055858	23.98837976001841	3.203682140498708	2.2818918336626464	10.064894109092487
SRX5329183	18.23230004894085										9.215304564805814	17.995265807238454	21.32812206079143	3.928098519659926	4.043596338665673	8.440841528629523
SRX5329184	9.77069366276554										7.107743719612887	23.21573304667971	12.075435768365775	18.580210851979988	12.725755582262293	4.279795037708921
SRX5329185	4.75985743583447										6.391846500918909	28.89119409477236	6.041097785133868	22.775408045602006	17.496699765854864	1.4485530373467415
SRX5329186	3.6686344776336024										5.6670176402282895	29.706146653859765	4.622503293008993	27.419125119023274	18.6143657795719	0.9268751428841577
SRX5329187	14.369600232798865										8.95120774978685	22.24326082860277	16.40093167498043	7.746995853746041	6.360287618511679	6.208665435523298
SRX5329188	11.465055484597485										7.3476816655378405	22.804377989070815	13.85287005732288	16.37699634441218	10.381791296590864	5.123695219791808
SRX5329189	7.964782536191414										5.75737495083796	25.156450183893185	7.421764394542056	24.413494640129336	13.813199260482891	2.6631603610471335
SRX5329190	6.450681530519985										4.355509191378954	22.989054293222903	4.692411473289382	31.593613510850034	15.887928803326194	1.6525335396321066
SRX5329191	6.655803091822188										4.697768404402741	23.569982726073306	5.786175778195037	29.70842811988855	16.0225680018052	2.2009422124797373
SRX5329192	8.444516266543122										6.037286261107773	24.704381541664695	8.311084166803127	22.835313570617053	12.947167263326714	3.057442619435611
SRX5329193	11.190564778131616										7.48510685419441	23.66196688648829	13.814758530005268	13.767617764222104	10.829231589427089	5.073834837587993
SRX5329194	9.414459409871844										6.519487254743909	23.559747782420345	10.785882028383199	19.223166850635863	13.88054077567168	3.846001155684844
SRX6700162	18.33757475567909										9.556085233576733	16.23797276721717	25.214409968192676	1.9124994515221907	3.3702693276311515	10.419330092168005
SRX6700163	16.77897750525332										9.616689654766935	18.44928955449961	23.306433687383144	3.327244233165071	4.497480701154301	9.150228178203045
SRX6700164	16.571707110804734										9.952223671026438	17.76431377308606	25.18773455322542	2.993327662162024	4.008616417717971	9.825332382044866
SRX6700165	16.8658959566549										9.286230636626264	16.519126546272826	23.69854803192472	5.621474154498943	3.788639868904039	9.548389002885358
SRX6700166	18.220282661094572										9.181528997077889	15.720242323637324	24.281289899450105	2.7486363903450073	3.554920913724699	10.081188152466344
SRX6700168	18.687920894544952										9.660829419318592	14.563682357106552	25.173067804424942	4.318610380977192	3.083812979058494	10.026487566611275
SRX6700169	17.784514980204825										9.86871648580896	14.508643738228075	25.017974342400183	4.771825920058073	2.82892183899616	9.433234877565631
SRX6700170	16.132772830936855										9.538832326604235	17.09035681771077	22.139071249204072	6.70393782042737	4.539221803636489	8.748121354195332
SRX6700171	20.129207181862892										8.56823208285963	12.924381554022807	24.02605373774187	3.1755032249634927	2.4227447276330265	10.649889289233288
SRX6700172	20.00695955100278										8.46621954173231	13.176523604193477	23.75399727528421	2.867189516866138	2.4337815050144394	10.199609770719691
SRX6700173	22.587390550766372										7.626133391546553	10.245289500488628	22.89783124278805	2.421785862419724	1.4019906485280307	10.801849994388395
SRX6700174	17.269799193370492										9.735317294820435	17.565078442877432	24.96171681944299	2.4704187987887387	3.794693768634322	9.949216036205826
SRX6700175	18.58900329270466										9.506163630006592	15.832860182919289	25.654112591367785	1.3663051850491543	2.816206908634042	10.585290305075882
SRX6700176	18.03640652225699										9.749919931623959	16.053990960395733	25.907240981967313	2.191978705223071	3.065045324960892	10.567238699241335
SRX6700177	19.21718137046443										9.085368923135544	15.114013390051278	23.86838175868281	2.2489422420243868	3.1313660616400063	10.152927724525444
SRX6700178	23.369179960022013										8.890711019657394	11.546082921738341	25.311234431232023	0.8128132095231331	1.420865930719569	11.494780891449215
SRX6700179	18.02586846486354										10.580845721176981	18.589705870820207	23.99845094467899	2.4528340816298764	3.0671451643685343	9.676533089638363
