Sample	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed
SRX3411506	30921101	7763121	4.4	7763121	4.789190756312227	1108699549	2143248	1164468150
SRX3411507	18962087	7260175	4.4	7260175	22.666136651894295	842186072	3797024	1089026250
SRX3411508	13267500	5873659	4.4	5873659	21.09703644695751	695173653	3054773	881048850
SRX3411509	27834122	7911166	4.4	7911166	5.268357660552186	1124156622	2480504	1186674900
SRX3411510	25260687	8069344	4.4	8069344	35.449044432856006	781325799	4704840	1210401600
SRX3411511	57692039	7666246	4.4	7666246	8.434693851462633	1052943243	3154351	1149936900
SRX3411512	35963709	6574423	4.4	6574423	6.030946594096546	926688459	1959672	986163450
SRX3411513	24329055	7543296	4.4	7543296	34.68110845267993	739079600	4465334	1131494400
SRX3411514	13350205	5670715	4.4	5670715	23.709553733523904	648932067	2763789	850607250
SRX3411515	23694192	4973875	4.4	4973875	5.11862320625267	707892162	1618295	746081250
SRX3411516	42148840	6094701	4.4	6094701	7.058409373432211	849676808	2713593	914205150
SRX3411517	31421675	5926984	4.4	5926984	12.471447535542529	778170495	2429543	889047600
SRX3411518	8153965	7846792	4.4	7846792	62.70625354497311	438954407	5823707	1177018800
SRX3411519	28460813	3491011	4.4	3491011	6.834065165267789	487864955	1283470	523651650
SRX3411520	14882908	3637888	4.4	3637888	9.217538307941311	495384642	1430746	545683200
SRX3411521	33472865	6139479	4.4	6139479	5.189632323307347	873129392	2109679	920921850
SRX3411522	29156751	4440321	4.4	4440321	5.9942594240371365	626123496	1610024	666048150
SRX3411523	25662472	4696244	4.4	4696244	7.668591041408127	650416238	1607862	704436600
SRX3411524	33927937	6481251	4.4	6481251	9.04819218799992	884222243	2517624	972187650
SRX3411525	36677284	4547533	4.4	4547533	6.850122179798731	635403215	1710708	682129950
SRX3541437	958624	40341679	4.4	40341679	0.5133589326079572	3997772280	15119283	4018401101
SRX3541438	784228	32233246	4.4	32233246	0.45342237766082943	3196467711	10166713	3211027227
SRX3541439	555130	32720362	4.4	32720362	0.4348729878120361	3251917527	10267561	3266121005
SRX3541440	484497	30607899	4.4	30607899	0.4379212995913364	3041572464	9861039	3054950744
SRX3541441	594474	31270936	4.4	31270936	0.5246617953484112	3101775892	12296767	3118135558
SRX3541442	762218	34984365	4.4	34984365	0.45581014507982764	3470256199	11135291	3486146408
SRX3541443	328283	28370403	4.4	28370403	0.41315579800603097	2819928420	8370771	2831627453
SRX3541444	276971	28524609	4.4	28524609	0.4563302581683905	2834623551	9412538	2847618094
SRX3541445	727515	32841095	4.4	32841095	0.4953850036033056	3257204614	11798135	3273420649
SRX3541446	869916	36566911	4.4	36566911	0.5108031631028209	3625077376	13640968	3643689457
SRX3541447	400556	30554514	4.4	30554514	0.4143981848377663	3035377873	8954157	3048008766
SRX3541448	493940	26870527	4.4	26870527	0.4222224414227077	2669130786	8125825	2680448240
SRX3541449	862439	36439716	4.4	36439716	0.534949212574459	3610239892	14528949	3629656712
SRX3541450	360983	30407552	4.4	30407552	0.42037679304155257	3021321120	9129094	3034075670
SRX3541451	829170	31506637	4.4	31506637	0.46242167405514095	3122068726	10167069	3136572919
SRX3541452	512740	22377044	4.4	22377044	0.5422128146534815	2215065174	9065292	2227141018
SRX3541453	255617	23818597	4.4	23818597	0.466161435251643	2365892799	7953758	2376973332
SRX5252024	6657904	13716389	4.4	13716389	1.8090746250437135	1360293178	5245588	1385355289
SRX5252025	7924751	12062223	4.4	12062223	1.7050555603257875	1197512095	4400397	1218284523
SRX5252026	0	9026043	4.4	9026043	0.8416345571332087	903957747	3274575	911630343
SRX5252027	13028393	11343588	4.4	11343588	1.8918147703118864	1124027821	4130411	1145702388
SRX5252028	8465578	15096381	4.4	15096381	1.4142156072877583	1503171448	5316221	1524734481
SRX5252029	8184077	10012861	4.4	10012861	2.0452410016863447	990615460	3637997	1011298961
SRX5252030	8248721	11433816	4.4	11433816	1.6108937187932377	1136212567	4064697	1154815416
SRX5252031	10849038	9833718	4.4	9833718	1.7613642577446897	975711551	3441285	993205518
SRX5252032	8388314	13730958	4.4	13730958	1.4283841067912246	1367017545	4787377	1386826758
SRX5252033	9840742	15771444	4.4	15771444	1.7405233995525504	1565190771	5758922	1592915844
SRX5252034	28833770	10729389	4.4	10729389	3.6412244780561256	1044209494	4138751	1083668289
SRX5252035	8623837	12168129	4.4	12168129	1.7100926299164216	1207964315	4461498	1228981029
SRX5252036	7272559	11099660	4.4	11099660	1.5703163184928883	1103461383	3965248	1121065660
SRX5252037	8091845	10478056	4.4	10478056	1.9051572691017729	1038121688	3751106	1058283656
SRX5252038	32492991	9138625	4.4	9138625	4.2460082591990345	883810421	3477877	923001125
SRX5252039	7248449	7625402	4.4	7625402	1.9844080234577912	754882374	2775652	770165602
SRX5252040	7704967	15234277	4.4	15234277	1.2898272197961775	1518815896	5355319	1538661977
SRX5252041	7293850	9695034	4.4	9695034	1.5632837501045267	963890784	3412731	979198434
SRX5252042	7596955	10518723	4.4	10518723	1.5735784318651949	1045673467	3743501	1062391023
