Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures
SRX3316529	2435716	0	78.2823622572322	0	0	53525811	68375314	0	0	96058	40059	0	0	0	0	3299907	8977763
SRX3316530	1888748	0	85.67107378392119	0	0	46720045	54534212	0	0	107067	36261	0	0	0	0	2537500	3244591
SRX3316531	1893632	0	84.23345307810374	0	0	46134514	54769824	0	0	86994	34753	0	0	0	0	2650440	3969491
SRX3316532	3638466	0	82.75638474583104	0	0	51766795	62553234	0	0	83614	31578	0	0	0	0	2779609	4253172
SRX3316533	2607264	0	83.25783222299886	0	0	51633800	62016748	0	0	62273	36455	0	0	0	0	2842815	4834141
SRX3316534	3079790	0	82.24554091396735	0	0	43952652	53440772	0	0	58741	28927	0	0	0	0	2398370	3922292
SRX3316535	2959702	0	83.19321107825404	0	0	46749217	56193548	0	0	52116	30490	0	0	0	0	2694249	3707774
SRX3316536	3103068	0	70.4460903895023	0	0	38165422	54176778	0	0	698922	33045	0	0	0	0	2198230	9978091
SRX3316537	2214860	0	80.0653109348741	0	0	44221016	55231180	0	0	38293	27168	0	0	0	0	2624246	6105597
SRX3316538	2785810	0	83.60412375453784	0	0	44853079	53649362	0	0	81677	30694	0	0	0	0	2518814	3379288
SRX3316539	1831508	0	84.81037519625812	0	0	41847059	49341910	0	0	63647	25684	0	0	0	0	2340886	3233126
SRX3316540	3427808	0	82.56188835673906	0	0	48671252	58951234	0	0	64386	29820	0	0	0	0	2646123	4111845
SRX3316541	2115026	0	82.6308765978419	0	0	49895655	60383790	0	0	88381	31609	0	0	0	0	3277952	4975167
SRX3316542	2218198	0	83.87788549178522	0	0	45265845	53966364	0	0	72892	26615	0	0	0	0	2721502	3661312
SRX3316543	2327116	0	84.80414408567654	0	0	51102772	60259758	0	0	95619	38715	0	0	0	0	2953912	3741624
SRX3316544	2120948	0	83.56116392981922	0	0	39861538	47703426	0	0	68377	28342	0	0	0	0	2343359	3280862
SRX3316545	2036088	0	84.42999735765301	0	0	39078095	46284610	0	0	173448	28035	0	0	0	0	2091582	2877362
SRX3316546	2184346	0	85.0734465248928	0	0	46891992	55119422	0	0	148529	36601	0	0	0	0	2458693	3399261
SRX3316547	1585424	0	85.41730903672787	0	0	37038276	43361558	0	0	205403	24113	0	0	0	0	1871791	2636551
SRX3316548	1629528	0	85.80126971292127	0	0	40458161	47153336	0	0	140900	22484	0	0	0	0	2178822	2723441
